Space Type: RealVectorSpaceFCL Type
Space dimension: 2
Planner type:	RRTConnect
Tree: start
q: (-1.5708       0); parent q: NONE
q: (-1.67212 -3.65538); parent q: (-1.51169 -3.53596)
q: (-1.67212 -3.65538); parent q: (-1.51169 -3.53596)
q: (-1.74138 -3.84301); parent q: (-1.67212 -3.65538)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.659716  -1.50017); parent q: (-0.59721 -1.31019)
q: (-0.793787 -0.870567); parent q: (-0.894961  -1.04309)
q: (-1.93297 -3.90038); parent q: (-1.74138 -3.84301)
q: (-1.93297 -3.90038); parent q: (-1.74138 -3.84301)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
q: (-2.12457 -3.95775); parent q: (-1.93297 -3.90038)
